Id_INVAS_COMPLETO,Grupo,Orden filogenetico,familia,Nombre cientifico,Ambiente,Origen,Presencia,Estatus,Ficha,Instrumento legal,Enciclovida 2020,enciclovida_id
2312INVAS,Peces,16,Channidae,Channa gachua,Dulceacuícola,Exótica,Ausente,,,,,
2313INVAS,Peces,16,Channidae,Channa maculata,Dulceacuícola,Exótica,Ausente,Invasora,,,,290592
2314INVAS,Peces,16,Channidae,Channa punctata,Dulceacuícola,Exótica,Ausente,,,,,
2346INVAS,Reptiles,18,Emydidae,Chrysemys picta bellii,Dulceacuícola,Nativa,Presente,Invasora,X,Lista oficial invasoras México,,
2386INVAS,Plantas,4,Poaceae,Dendrocalamus asper,Terrestre,Exótica,Presente confinada,Invasora,,,,279466
2394INVAS,Aves,19,Parulidae,Setophaga magnolia,Terrestre,Exótica,Presente,,,,,36232
2400INVAS,Plantas,4,Brassicaceae,Descurainia sophia,Terrestre,Exótica,Presente,,,,,200976
2403INVAS,Otros invertebrados,7,Diadumenidae,Diadumene leucolena,Marino,Exótica,Presente,,,,,45390
2409INVAS,Insectos,12,Curculionidae,Diaprepes abbreviatus,Terrestre,Exótica,Ausente,Invasora,,,,279461
2419INVAS,Otros invertebrados,15,Didemnidae,Didemnum perlucidum,Marino,Criptogénica,Presente,,,,,290664
2428INVAS,Plantas,4,Caprifoliaceae,Dipsacus sativus,Terrestre,Exótica,Presente,,,,,168215
2437INVAS,Plantas,4,Asparagaceae,Dracaena reflexa,Terrestre,Exótica,Presente,,,,,252391
2463INVAS,Plantas,4,Poaceae,Ehrharta erecta,Terrestre,Exótica,Presente,,,,,201707
2528INVAS,Plantas,4,Poaceae,Eragrostis tenuifolia,Terrestre,Exótica,Presente,,,,,178387
2537INVAS,Plantas,4,Rosaceae,Rhaphiolepis bibas,Terrestre,Exótica,Presente,,,,,279829
2542INVAS,Plantas,4,Geraniaceae,Erodium botrys,Terrestre,Exótica,Presente,,,,,201710
2577INVAS,Plantas,4,Myrtaceae,Eucalyptus grandis,Terrestre,Exótica,Presente,,,,,275055
2579INVAS,Plantas,4,Myrtaceae,Eucalyptus robusta,Terrestre,Exótica,Presente,,,,,275049
2581INVAS,Plantas,4,Myrtaceae,Eucalyptus tereticornis,Terrestre,Exótica,Presente,,,,,192561
2582INVAS,Plantas,4,Myrtaceae,Eucalyptus urophylla,Terrestre,Exótica,Presente,,,,,275051
2591INVAS,Plantas,4,Myrtaceae,Eugenia uniflora,Terrestre,Exótica,Presente,Invasora,X,,,285180
2601INVAS,Plantas,4,Euphorbiaceae,Euphorbia lactea,Terrestre,Exótica,Presente,,,,,200916
2661INVAS,Plantas,4,Moraceae,Ficus carica,Terrestre,Exótica,Presente,,,,,192574
2662INVAS,Plantas,4,Moraceae,Ficus elastica,Terrestre,Exótica,Presente,,,,,192575
2663INVAS,Plantas,4,Moraceae,Ficus retusa,Terrestre,Exótica,Presente,,,,,192576
2708INVAS,Peces,16,Poeciliidae,Gambusia geiseri,Dulceacuícola,Exótica,Presente,,,,,294937
2749INVAS,Moluscos,13,Mytilidae,Geukensia demissa,Salobre,Exótica,Presente,,,,,53992
2763INVAS,Plantas,4,Fabaceae,Glycine max,Terrestre,Exótica,Presente confinada,,,,,193879
2765INVAS,Plantas,4,Lamiaceae,Gmelina arborea,Terrestre,Exótica,Presente,,,,,193822
2818INVAS,Plantas,4,Caryophyllaceae,Gypsophila paniculata,Terrestre,Exótica,Presente,,,,,288919
2845INVAS,Plantas,4,Heliconiaceae,Heliconia rostrata,Terrestre,Exótica,Presente,,,,,230487
2857INVAS,Moluscos,13,Planorbidae,Planorbella duryi,Dulceacuícola,Exótica,Presente,,,,,55916
2885INVAS,Algas y protoctistas,3,Heterocapsaceae,Heterocapsa circularisquama,Marino,Exótica,Presente,,,,,15788
2894INVAS,Plantas,4,Malvaceae,Hibiscus rosa-sinensis rosa-sinensis,Terrestre,Exótica,Presente confinada,,,,,
2896INVAS,Plantas,4,Malvaceae,Hibiscus sabdariffa,Terrestre,Exótica,Presente,,,,,165257
2897INVAS,Plantas,4,Malvaceae,Hibiscus syriacus,Terrestre,Exótica,Presente,,,,,165260
2980INVAS,Plantas,4,Balsaminaceae,Impatiens balsamina,Terrestre,Exótica,Presente,,,,,163068
3002INVAS,Plantas,4,Rubiaceae,Ixora coccinea,Terrestre,Exótica,Presente,,,,,167156
3003INVAS,Plantas,4,Rubiaceae,Ixora finlaysoniana,Terrestre,Exótica,Presente,,,,,171473
3006INVAS,Plantas,4,Bignoniaceae,Jacaranda mimosifolia,Terrestre,Exótica,Presente,,,,,163241
