idCAT,layers,styler,bbox,anio,autor,urlgeoportal,urldescargazip
29833ANGIO,fme037dpgw,dp_01g,"-111.247383117676,14.5652694702148,-86.7320404052734,31.4128379821777",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fme037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fme037dpgw.zip
29834ANGIO,fob037dpgw,dp_01g,"-111.246955871582,14.5661649703979,-86.7669448852539,31.3661670684814",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fob037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fob037dpgw.zip
29834ANGIO,fob052dpgw,dp_01g,"-106.791666666587,7.1666666670417,-77.1434076901127,24.6666666671019",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fob052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fob052dpgw.zip
29836ANGIO,fpe037dpgw,dp_01g,"-116.015213012695,14.5652694702148,-86.7320404052734,32.7315368652344",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fpe037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpe037dpgw.zip
29837ANGIO,fpet037dpgw,dp_01g,"-117.131797790527,14.5652694702148,-90.3663024902344,32.7315368652344",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fpet037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpet037dpgw.zip
29837ANGIO,fpe002dpgw,dp_01g,"-118.390380859375,14.5661697387695,-90.3665008544922,32.7321128845215",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fpe002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpe002dpgw.zip
29837ANGIO,dis_f_petigw,arbol_trop,"-113.120714,15.520813,-92.120132,29.360208",2005,Pennington y Sarukhán,http://geoportal.conabio.gob.mx/#!l=dis_f_petigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dis_f_petigw.zip
77097ANGIO,fpo037dpgw,dp_01g,"-105.702919006348,14.5671091079712,-86.7355804443359,22.6480083465576",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fpo037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpo037dpgw.zip
29838ANGIO,fpr037dpgw,dp_01g,"-111.247383117676,14.5652694702148,-92.1533508300781,31.4128379821777",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fpr037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpr037dpgw.zip
29838ANGIO,fpr002dpgw,dp_01g,"-116.01399230957,14.5661697387695,-90.3650054931641,32.7321128845215",2018,Dávila-Aranda et al.,http://geoportal.conabio.gob.mx/#!l=fpr002dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fpr002dpgw.zip
56901ANGIO,frz037dpgw,dp_01g,"-111.246955871582,14.5661649703979,-86.8369445800781,31.3661670684814",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=frz037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/frz037dpgw.zip
29840ANGIO,fve037dpgw,dp_01g,"-111.246955871582,14.5661649703979,-86.7669448852539,31.3661670684814",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fve037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fve037dpgw.zip
29840ANGIO,fve052dpgw,dp_01g,"-108.124999999925,-4.875,-66.2083333331139,27.2500000001105",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fve052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fve052dpgw.zip
29841ANGIO,fyo037dpgw,dp_01g,"-111.247383117676,14.5652694702148,-86.7320404052734,31.4128379821777",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fyo037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fyo037dpgw.zip
29841ANGIO,fyo052dpgw,dp_01g,"-101.458333333235,7.20833333304085,-77.1434076901127,23.1666666664291",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fyo052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fyo052dpgw.zip
